algorithm,operation,security_level,time_us,run_number
ML-KEM,keygen,512,10669,1
ML-KEM,keygen,512,9961,2
ML-KEM,keygen,512,9919,3
ML-KEM,keygen,512,9905,4
ML-KEM,keygen,512,9900,5
ML-KEM,keygen,512,9903,6
ML-KEM,keygen,512,9925,7
ML-KEM,keygen,512,9919,8
ML-KEM,keygen,512,9902,9
ML-KEM,keygen,512,9908,10
ML-KEM,keygen,512,9918,11
ML-KEM,keygen,512,9908,12
ML-KEM,keygen,512,9901,13
ML-KEM,keygen,512,9909,14
ML-KEM,keygen,512,9887,15
ML-KEM,keygen,512,9893,16
ML-KEM,keygen,512,9904,17
ML-KEM,keygen,512,9907,18
ML-KEM,keygen,512,9922,19
ML-KEM,keygen,512,9916,20
ML-KEM,keygen,512,9919,21
ML-KEM,keygen,512,9915,22
ML-KEM,keygen,512,9925,23
ML-KEM,keygen,512,9895,24
ML-KEM,keygen,512,9933,25
ML-KEM,keygen,512,9904,26
ML-KEM,keygen,512,9915,27
ML-KEM,keygen,512,9925,28
ML-KEM,keygen,512,9900,29
ML-KEM,keygen,512,9912,30
ML-KEM,encaps,512,11466,1
ML-KEM,encaps,512,11623,2
ML-KEM,encaps,512,11565,3
ML-KEM,encaps,512,11557,4
ML-KEM,encaps,512,11557,5
ML-KEM,encaps,512,11564,6
ML-KEM,encaps,512,11574,7
ML-KEM,encaps,512,11554,8
ML-KEM,encaps,512,11557,9
ML-KEM,encaps,512,11528,10
ML-KEM,encaps,512,11576,11
ML-KEM,encaps,512,11567,12
ML-KEM,encaps,512,11547,13
ML-KEM,encaps,512,11563,14
ML-KEM,encaps,512,11570,15
ML-KEM,encaps,512,11553,16
ML-KEM,encaps,512,11553,17
ML-KEM,encaps,512,11576,18
ML-KEM,encaps,512,11550,19
ML-KEM,encaps,512,11552,20
ML-KEM,encaps,512,11551,21
ML-KEM,encaps,512,11530,22
ML-KEM,encaps,512,11537,23
ML-KEM,encaps,512,11552,24
ML-KEM,encaps,512,11575,25
ML-KEM,encaps,512,11574,26
ML-KEM,encaps,512,11544,27
ML-KEM,encaps,512,11553,28
ML-KEM,encaps,512,11553,29
ML-KEM,encaps,512,11570,30
ML-KEM,decaps,512,14152,1
ML-KEM,decaps,512,14306,2
ML-KEM,decaps,512,14294,3
ML-KEM,decaps,512,14273,4
ML-KEM,decaps,512,14273,5
ML-KEM,decaps,512,14299,6
ML-KEM,decaps,512,14282,7
ML-KEM,decaps,512,14269,8
ML-KEM,decaps,512,14272,9
ML-KEM,decaps,512,14306,10
ML-KEM,decaps,512,14242,11
ML-KEM,decaps,512,14270,12
ML-KEM,decaps,512,14288,13
ML-KEM,decaps,512,14263,14
ML-KEM,decaps,512,14264,15
ML-KEM,decaps,512,14272,16
ML-KEM,decaps,512,14290,17
ML-KEM,decaps,512,14300,18
ML-KEM,decaps,512,14255,19
ML-KEM,decaps,512,14256,20
ML-KEM,decaps,512,14268,21
ML-KEM,decaps,512,14266,22
ML-KEM,decaps,512,14289,23
ML-KEM,decaps,512,14289,24
ML-KEM,decaps,512,14275,25
ML-KEM,decaps,512,14283,26
ML-KEM,decaps,512,14262,27
ML-KEM,decaps,512,14263,28
ML-KEM,decaps,512,14272,29
ML-KEM,decaps,512,14276,30
ML-KEM,keygen,768,16331,1
ML-KEM,keygen,768,16058,2
ML-KEM,keygen,768,15995,3
ML-KEM,keygen,768,16231,4
ML-KEM,keygen,768,16001,5
ML-KEM,keygen,768,16005,6
ML-KEM,keygen,768,15991,7
ML-KEM,keygen,768,15984,8
ML-KEM,keygen,768,16002,9
ML-KEM,keygen,768,16010,10
ML-KEM,keygen,768,15995,11
ML-KEM,keygen,768,16012,12
ML-KEM,keygen,768,15993,13
ML-KEM,keygen,768,16239,14
ML-KEM,keygen,768,16233,15
ML-KEM,keygen,768,16002,16
ML-KEM,keygen,768,16010,17
ML-KEM,keygen,768,16012,18
ML-KEM,keygen,768,15994,19
ML-KEM,keygen,768,15999,20
ML-KEM,keygen,768,15986,21
ML-KEM,keygen,768,15984,22
ML-KEM,keygen,768,15997,23
ML-KEM,keygen,768,15999,24
ML-KEM,keygen,768,15983,25
ML-KEM,keygen,768,16016,26
ML-KEM,keygen,768,16007,27
ML-KEM,keygen,768,15995,28
ML-KEM,keygen,768,15991,29
ML-KEM,keygen,768,16023,30
ML-KEM,encaps,768,18488,1
ML-KEM,encaps,768,18642,2
ML-KEM,encaps,768,18578,3
ML-KEM,encaps,768,18592,4
ML-KEM,encaps,768,18576,5
ML-KEM,encaps,768,18586,6
ML-KEM,encaps,768,18593,7
ML-KEM,encaps,768,18573,8
ML-KEM,encaps,768,18594,9
ML-KEM,encaps,768,18590,10
ML-KEM,encaps,768,18578,11
ML-KEM,encaps,768,18585,12
ML-KEM,encaps,768,18584,13
ML-KEM,encaps,768,18590,14
ML-KEM,encaps,768,18580,15
ML-KEM,encaps,768,18573,16
ML-KEM,encaps,768,18586,17
ML-KEM,encaps,768,18582,18
ML-KEM,encaps,768,18592,19
ML-KEM,encaps,768,18582,20
ML-KEM,encaps,768,18591,21
ML-KEM,encaps,768,18571,22
ML-KEM,encaps,768,18590,23
ML-KEM,encaps,768,18607,24
ML-KEM,encaps,768,18586,25
ML-KEM,encaps,768,18583,26
ML-KEM,encaps,768,18583,27
ML-KEM,encaps,768,18603,28
ML-KEM,encaps,768,18594,29
ML-KEM,encaps,768,18582,30
ML-KEM,decaps,768,21937,1
ML-KEM,decaps,768,22072,2
ML-KEM,decaps,768,22045,3
ML-KEM,decaps,768,22026,4
ML-KEM,decaps,768,22045,5
ML-KEM,decaps,768,22043,6
ML-KEM,decaps,768,22025,7
ML-KEM,decaps,768,22036,8
ML-KEM,decaps,768,22046,9
ML-KEM,decaps,768,22048,10
ML-KEM,decaps,768,22053,11
ML-KEM,decaps,768,22045,12
ML-KEM,decaps,768,22040,13
ML-KEM,decaps,768,22031,14
ML-KEM,decaps,768,22017,15
ML-KEM,decaps,768,22025,16
ML-KEM,decaps,768,22019,17
ML-KEM,decaps,768,22055,18
ML-KEM,decaps,768,22038,19
ML-KEM,decaps,768,22032,20
ML-KEM,decaps,768,22013,21
ML-KEM,decaps,768,22046,22
ML-KEM,decaps,768,22039,23
ML-KEM,decaps,768,22040,24
ML-KEM,decaps,768,22037,25
ML-KEM,decaps,768,22034,26
ML-KEM,decaps,768,22043,27
ML-KEM,decaps,768,22035,28
ML-KEM,decaps,768,22022,29
ML-KEM,decaps,768,22033,30
ML-KEM,keygen,1024,25454,1
ML-KEM,keygen,1024,25428,2
ML-KEM,keygen,1024,25141,3
ML-KEM,keygen,1024,25135,4
ML-KEM,keygen,1024,25133,5
ML-KEM,keygen,1024,25126,6
ML-KEM,keygen,1024,25120,7
ML-KEM,keygen,1024,25148,8
ML-KEM,keygen,1024,25149,9
ML-KEM,keygen,1024,25145,10
ML-KEM,keygen,1024,25137,11
ML-KEM,keygen,1024,25121,12
ML-KEM,keygen,1024,25126,13
ML-KEM,keygen,1024,25348,14
ML-KEM,keygen,1024,25144,15
ML-KEM,keygen,1024,25136,16
ML-KEM,keygen,1024,25128,17
ML-KEM,keygen,1024,25357,18
ML-KEM,keygen,1024,25138,19
ML-KEM,keygen,1024,25144,20
ML-KEM,keygen,1024,25120,21
ML-KEM,keygen,1024,25127,22
ML-KEM,keygen,1024,25124,23
ML-KEM,keygen,1024,25119,24
ML-KEM,keygen,1024,25376,25
ML-KEM,keygen,1024,25107,26
ML-KEM,keygen,1024,25595,27
ML-KEM,keygen,1024,25391,28
ML-KEM,keygen,1024,25147,29
ML-KEM,keygen,1024,25124,30
ML-KEM,encaps,1024,28067,1
ML-KEM,encaps,1024,28164,2
ML-KEM,encaps,1024,28085,3
ML-KEM,encaps,1024,28089,4
ML-KEM,encaps,1024,28085,5
ML-KEM,encaps,1024,28102,6
ML-KEM,encaps,1024,28091,7
ML-KEM,encaps,1024,28070,8
ML-KEM,encaps,1024,28092,9
ML-KEM,encaps,1024,28093,10
ML-KEM,encaps,1024,28075,11
ML-KEM,encaps,1024,28056,12
ML-KEM,encaps,1024,28064,13
ML-KEM,encaps,1024,28080,14
ML-KEM,encaps,1024,28091,15
ML-KEM,encaps,1024,28086,16
ML-KEM,encaps,1024,28068,17
ML-KEM,encaps,1024,28071,18
ML-KEM,encaps,1024,28086,19
ML-KEM,encaps,1024,28074,20
ML-KEM,encaps,1024,28058,21
ML-KEM,encaps,1024,28063,22
ML-KEM,encaps,1024,28083,23
ML-KEM,encaps,1024,28074,24
ML-KEM,encaps,1024,28072,25
ML-KEM,encaps,1024,28090,26
ML-KEM,encaps,1024,28098,27
ML-KEM,encaps,1024,28081,28
ML-KEM,encaps,1024,28081,29
ML-KEM,encaps,1024,28065,30
ML-KEM,decaps,1024,32407,1
ML-KEM,decaps,1024,32507,2
ML-KEM,decaps,1024,32469,3
ML-KEM,decaps,1024,32437,4
ML-KEM,decaps,1024,32451,5
ML-KEM,decaps,1024,32428,6
ML-KEM,decaps,1024,32454,7
ML-KEM,decaps,1024,32430,8
ML-KEM,decaps,1024,32436,9
ML-KEM,decaps,1024,32445,10
ML-KEM,decaps,1024,32466,11
ML-KEM,decaps,1024,32434,12
ML-KEM,decaps,1024,32461,13
ML-KEM,decaps,1024,32432,14
ML-KEM,decaps,1024,32428,15
ML-KEM,decaps,1024,32457,16
ML-KEM,decaps,1024,32461,17
ML-KEM,decaps,1024,32445,18
ML-KEM,decaps,1024,32427,19
ML-KEM,decaps,1024,32439,20
ML-KEM,decaps,1024,32448,21
ML-KEM,decaps,1024,32462,22
ML-KEM,decaps,1024,32441,23
ML-KEM,decaps,1024,32446,24
ML-KEM,decaps,1024,32436,25
ML-KEM,decaps,1024,32440,26
ML-KEM,decaps,1024,32436,27
ML-KEM,decaps,1024,32442,28
ML-KEM,decaps,1024,32432,29
ML-KEM,decaps,1024,32445,30
